z_id,z_lat_d,z_long_d,z_land,z_water,z_pop,z_households,z_comm,z_med_inc,z_house_unit,z_comm_miles,z_comm_miles_ph,z_carb_ton_ph,z_pov,z_per_comm
26411,39.18008,-80.71334,73.385,0.132,707,322,176,35833,411,5263178.008,29777.527626591233,12.366022804556838,0.0,70.7
26680,38.093333,-80.872973,27.175,0.304,340,112,85,31957,180,1782849.1175,20974.695499999998,8.710379388247665,0.0,82.4
28147,35.681117,-80.562942,78.541,0.009,24697,8890,6174,42110,9845,1.39769542087E8,22637.49315090902,9.400906618323761,13.1,83.2
29684,34.37941,-82.718488,56.206,4.361,4862,1686,1215,37683,2026,2.7344828604500003E7,22496.77384162896,9.342468650960589,12.7,91.5
30814,33.440406,-82.299828,51.155,0.074,8150,2959,2037,44563,3332,2.6455088341500003E7,12984.092437546014,5.392038761330442,18.0,83.9
31085,33.427353,-83.627679,44.273,0.573,1043,393,260,43068,413,7798544.3365,29908.127848513905,12.420258513539398,11.5,81.1
32059,30.373884,-83.24902,118.33,0.889,2377,871,594,42371,1138,1.4729453639999999E7,24786.62791754312,10.293400107626436,19.6,74.9
32118,29.209639,-81.002321,4.236,4.535,16961,8526,4240,37645,15473,9.369953462599999E7,22097.64391863687,9.176717827332986,9.8,72.9
32277,30.377535,-81.59389,7.166,3.561,29517,11006,7379,41227,13109,6.31982717025E7,8564.32180811058,3.5565947620877916,13.8,82.2
32426,30.946886,-85.370413,48.544,0.584,942,330,235,28750,487,2676222.4175,11364.00177282378,4.719246904443222,19.9,70.9
33980,26.979255,-82.047288,9.192,4.266,10322,5455,2580,42619,7343,5.32220281355E7,20624.696041658593,8.565031482346727,9.2,78.6
33991,26.625053,-82.024123,14.147,3.926,18010,6505,4502,52345,8210,5.83504478105E7,12959.56642098834,5.381853588005766,8.9,85.5
35019,34.302078,-86.634094,29.92,0.216,2117,741,529,32974,947,1.0067192524E7,19021.620262635806,7.8993055735534785,8.8,85.5
35146,33.795118,-86.453341,106.735,1.27,10948,3965,2737,62236,3914,4.966432780750001E7,18145.534456521742,7.535484332481717,9.0,83.1
36532,30.480713,-87.861306,73.738,6.536,27829,11612,6957,60778,13547,1.4899460886299998E8,21415.733064501055,8.89353363290752,7.8,84.4
37046,35.781876,-86.70074,69.906,0.012,3665,1525,916,55339,1507,1.6050255405E7,17517.33195634379,7.274604163365762,6.2,82.2
37663,36.461493,-82.488779,26.674,1.235,14617,6273,3654,51896,6399,4.41753826935E7,12088.768610111514,5.020228347572946,8.5,88.6
37871,36.052084,-83.681021,39.756,0.828,9134,3289,2283,46250,3886,2.9699218519E7,13006.007671994745,5.401139728084921,14.3,81.1
38080,36.207086,-89.519208,140.845,10.989,2568,1090,642,31210,1139,1.9929061263E7,31042.1515,12.89119627946262,27.6,83.8
39840,31.780895,-84.764694,211.122,1.091,5726,2050,1431,27130,2979,3.93841328095E7,27512.4923573175,11.425398111190685,27.7,68.5
43347,40.477854,-83.65958,29.43,0.0,1530,553,382,59453,595,1.1305522637999998E7,29556.92192941176,12.274409588162728,12.2,77.4
43402,41.417547,-83.656646,111.712,0.85,31327,13512,7831,41100,14777,1.556712003595E8,19876.93687355955,8.254501775482417,11.1,79.4
44216,40.945779,-81.581744,23.232,1.376,9418,3568,2354,66719,3733,4.7588211839999996E7,20211.599847101294,8.393480740242488,3.8,89.2
45232,39.188263,-84.510096,2.363,0.009,6358,2458,1589,12329,2732,1.6041361016E7,10092.079909405475,4.19104271751806,62.3,53.8
45764,39.442499,-82.231394,80.48,0.835,9431,3184,2357,31408,3883,6.4707279737500004E7,27444.50418301347,11.397163956749568,22.0,85.0
46126,39.618024,-85.88034,32.701,0.12,4668,1994,1167,60750,1860,1.6356291042000001E7,14015.673557840619,5.820434154604187,2.0,86.3
46268,39.898613,-86.233341,13.287,0.03,24965,11039,6241,44282,12214,5.99846299875E7,9610.996192669738,3.9912580917876626,11.5,83.5
47388,40.005637,-85.443437,0.289,0.0,384,131,96,39107,158,1982347.473,20649.45284375,8.575312496374126,16.5,94.9
47580,38.355203,-86.767156,5.015,0.013,289,118,72,53846,112,2108580.876,29184.51039446367,12.119754386710218,0.0,96.5
47591,38.628561,-87.501485,161.761,1.979,26770,10371,6692,41175,11555,1.6724552712E8,24989.992845722823,10.377853571025176,12.2,84.1
48002,42.936383,-82.91712,37.125,0.007,3285,1233,821,62875,1225,1.9644735930500004E7,23920.53081339422,9.933726978440863,6.6,88.1
48813,42.579702,-84.84583,169.805,0.514,21182,8062,5295,55830,8791,1.3077072527700001E8,24694.688939099236,10.255219654288549,9.7,82.0
49125,41.891897,-86.579415,13.495,1.183,2046,832,511,46554,1634,9298229.6105,18178.357009775173,7.549114894666915,0.9,74.7
49548,42.870454,-85.662605,10.583,0.013,30524,11454,7631,40895,12650,9.8260584055E7,12876.501645262744,5.347358416890188,17.1,81.3
50054,41.689643,-93.231856,58.419,0.606,3356,1217,839,60194,1428,1.27753577525E7,15226.886474970202,6.3234271076196364,5.6,80.7
