zid,z_id,z_pop,z_house_unit,z_land,z_water,z_lat_d,z_long_d,z_lat_r,z_long_r
z18509,18509,13589,5573,2.871,0.0,41.430836,-75.642906,0.7231045000537973,-1.3202177654765737
z18510,18510,14119,5500,2.144,0.028,41.407379,-75.636613,0.7226950981711571,-1.3201079319067457
z18512,18512,12218,5990,11.193,0.103,41.42632,-75.601898,0.7230256809847773,-1.319502040856916
z18517,18517,5274,2276,4.194,0.0,41.39464,-75.713641,0.7224727606777456,-1.3214523241229719
z18518,18518,8313,4040,4.04,0.0,41.375054,-75.739559,0.7221309204904499,-1.3219046785585038
z18519,18519,5104,2472,2.408,0.0,41.461938,-75.630719,0.7236473323577527,-1.3200050622006332
z18602,18602,257,155,1.937,0.099,41.183232,-75.750771,0.7187829950126893,-1.3221003648742375
z18603,18603,19320,9021,51.559,1.596,41.082104,-76.258139,0.7170179784467325,-1.330955606993496
z18610,18610,5008,2559,30.169,0.291,41.069335,-75.549147,0.7167951173545454,-1.3185813622231966
z18612,18612,18051,6590,53.898,1.221,41.346088,-75.98638,0.7216253684193172,-1.3262125176715687
z18614,18614,2426,2105,137.853,0.712,41.524947,-76.496996,0.7247470468661418,-1.335124448084932
z18615,18615,1867,900,18.323,0.519,41.461702,-75.857203,0.723643213380718,-1.32395795370372
z18616,18616,738,711,55.298,0.209,41.504887,-76.635657,0.7243969338181917,-1.33754453907904
z18617,18617,1924,1061,6.055,0.163,41.169676,-76.080726,0.7185463981792891,-1.3278591660076553
z18618,18618,3793,2249,17.685,1.004,41.365093,-76.041417,0.7219570682436588,-1.3271730945319888
z18619,18619,273,382,34.536,0.019,41.461696,-76.717816,0.7236431086609629,-1.338978484139186
z18621,18621,6248,2358,44.447,1.521,41.248601,-76.098546,0.7199238992914255,-1.3281701836803608
z18622,18622,257,110,3.672,0.012,41.201232,-76.273515,0.7190971542780483,-1.3312239688192828
z18623,18623,2733,1363,56.403,1.27,41.664801,-76.151984,0.7271879596382258,-1.3291028527260416
z18624,18624,718,1594,16.058,0.492,41.060643,-75.64717,0.7166434133359619,-1.320292186315879
z18625,18625,491,437,0.763,0.289,41.513387,-75.848822,0.7245452868046113,-1.3238116776591105
z18626,18626,516,504,25.578,0.239,41.398268,-76.523881,0.7225360812230079,-1.3355936798543309
z18628,18628,192,292,20.436,0.429,41.430143,-76.313808,0.723092404922081,-1.3319272143347887
z18629,18629,1801,923,93.358,1.325,41.517603,-76.141339,0.7246188698858753,-1.328917062427167
