zid,mid,ddist
z2184,m53740,67.933891
z2184,m71506,72.307102
z2184,m72505,46.221939
z2184,m9271,20.314488
z2184,m61165,61.705266
z2184,m61786,47.480216
z2184,m5167,55.444951
z2184,m49096,64.127993
z2909,m97291,46.01378
z2909,m72505,5.691139
z2909,m9271,55.704685
z2909,m64135,56.070051
z2909,m61786,34.432663
z2909,m5167,67.708333
z2909,m49096,70.785985
z3741,m53740,82.147757
z3845,m49339,68.378793
z3845,m71263,62.621167
z4551,m49339,53.825658
z4551,m71263,65.924377
z5079,m11755,67.526893
z5148,m79633,67.722625
z5148,m33598,67.835714
z5148,m69778,70.167721
z6489,m62407,28.791234
z6489,m71803,85.866042
z6489,m37243,16.967783
z6489,m22096,44.490177
z6489,m92485,16.279304
z6489,m64135,64.88358
z6489,m83926,46.887427
z6489,m10162,67.28518
z6856,m62407,34.903041
z6856,m71803,61.612682
z6856,m37243,67.963717
z6856,m22096,28.502297
z6856,m92485,45.07613
z6856,m56899,81.290886
z6856,m63217,46.582956
z6856,m10162,12.63434
z7847,m89263,64.630682
z7847,m71803,76.777867
z7847,m25849,39.48379
z7847,m88462,59.542894
